country,iso,aluminum_us,aluminum_cn,antimony_us,antimony_cn,beryllium_us,beryllium_cn,bismuth_us,bismuth_cn,cadmium_us,cadmium_cn,chromium_us,chromium_cn,cobalt_us,cobalt_cn,copper_us,copper_cn,gold_us,gold_cn,steel_us,steel_cn,lead_us,lead_cn,lithium_us,lithium_cn,magnesium_us,magnesium_cn,manganese_us,manganese_cn,molybdenum_us,molybdenum_cn,graphite_us,graphite_cn,nickel_us,nickel_cn,niobium_us,niobium_cn,palladium_us,palladium_cn,platinum_us,platinum_cn,ree_us,ree_cn,rhodium_us,rhodium_cn,silver_us,silver_cn,tin_us,tin_cn,titanium_us,titanium_cn,tungsten_us,tungsten_cn,uranium_us,uranium_cn,zinc_us,zinc_cn,zirconium_us,zirconium_cn,beef_us,beef_cn,coffee_us,coffee_cn,maize_us,maize_cn,milk_us,milk_cn,palm_us,palm_cn,pork_us,pork_cn,poultry_us,poultry_cn,rice_us,rice_cn,soy_us,soy_cn,sugar_us,sugar_cn,wheat_us,wheat_cn,coal_us,coal_cn,gas_us,gas_cn,oil_us,oil_cn,trade_us,trade_cn,fdi_us,fdi_cn,student_out_us,student_in_us,student_out_cn,student_in_cn,aid_us,aid_cn,unga_us,unga_cn,arms_ex_us,arms_im_us,arms_ex_cn,arms_im_cn,mil_ex_us,mil_ex_cn
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550015444,420439332,0,210000000,0,476.54,0,0,1.064,0.001,0.23,0.82,0.47,0,0,0,0,0
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0.003,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174731373.1,594094856.6,0,0,0,655.91,0,0,0.005,0,0.48,0.5,0,0,0,0,10,0
Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.001,7311146060,8092364200,0,1963333333,0,159.64,0,1.25,0,0,0.17,0.81,0.01,0,0.18,0,4,0
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.078,6868684625,26267835161,0,2292500000,0,1123.23,0,5,0.001,0.012,0.16,0.81,0,0,0.07,0,3,2
Argentina,ARG,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0.001,0,0.306,0.076,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0.001,0,0,0.002,0,0,0,0,0,0.003,0.001,0,0.001,0.082,0.004,0,0.001,0,0,0,0,0,0.001,0.002,20841664651,13685185057,14578750000,3392500000,878.25,1913.25,142.75,0,0,0.002,0.3,0.76,0.6,0,0,0,3,0
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177003842.4,328514560.8,0,0,30,273,1.75,0,0.013,0,0.24,0.67,0,0,0,0,11,2
Australia,AUS,0.005,0.002,0,0.039,0,0,0,0.002,0.081,0.014,0,0.007,0.037,0.006,0,0.021,0,0.062,0.002,0,0.006,0.002,0,0,0,0,0.151,0.222,0,0,0,0,0.031,0.011,0,0,0,0,0,0,0.001,0,0,0,0.001,0.011,0,0,0,0,0,0,0.256,0,0.058,0.021,0.041,0.278,0.026,0.021,0,0.001,0,0,0.001,0.038,0,0,0,0,0,0,0.002,0,0,0,0.012,0.013,0.002,0.01,0,0.021,0,0.036,0,0.005,51502000000,1.26E+11,1.68E+11,10227500000,2975.75,3999.1,96985.25,17.75,0,0,0.56,0.41,0.6,0.08,0,0,41,13
Austria,AUT,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.007,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.019,0.001,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,17417044266,7688244001,7842250000,230000000,654.63,910.2,634.96,6.75,0,0,0.42,0.5,0,0,0,0,6,0
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,1478619366,885781361.2,0,0,4.25,379.37,133.25,0,0.002,0,0.21,0.8,0,0,0,0,6,0
Bahamas,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5270606668,680036633.4,0,250000000,0,1916.2,0,0,0.001,0.049,0.28,0.76,0,0,0,0,5,0
