iso,country,antimony_us,antimony_cn,beryllium_us,beryllium_cn,bismuth_us,bismuth_cn,cadmium_us,cadmium_cn,chromium_us,chromium_cn,cobalt_us,cobalt_cn,graphite_us,graphite_cn,lithium_us,lithium_cn,magnesium_us,magnesium_cn,manganese_us,manganese_cn,molybdenum_us,molybdenum_cn,niobium_us,niobium_cn,palladium_us,palladium_cn,platinum_us,platinum_cn,ree_us,ree_cn,rhodium_us,rhodium_cn,titanium_us,titanium_cn,tungsten_us,tungsten_cn,uranium_us,uranium_cn,zirconium_us,zirconium_cn,crit_us,crit_cn,aluminum_us,aluminum_cn,copper_us,copper_cn,gold_us,gold_cn,silver_us,silver_cn,nickel_us,nickel_cn,zinc_us,zinc_cn,lead_us,lead_cn,steel_us,steel_cn,tin_us,tin_cn,metals_us,metals_cn,coffee_us,coffee_cn,maize_us,maize_cn,milk_us,milk_cn,palm_us,palm_cn,pork_us,pork_cn,poultry_us,poultry_cn,rice_us,rice_cn,soy_us,soy_cn,sugar_us,sugar_cn,wheat_us,wheat_cn,beef_us,beef_cn,ag_us,ag_cn,gas_us,gas_cn,oil_us,oil_cn,coal_us,coal_cn,energy_us,energy_cn,mil_ex_us,mil_ex_cn,arms_ex_us,arms_ex_cn,arms_im_us,arms_im_cn,arms_us,arms_cn,unga_us,unga_cn,aid_us,aid_cn,trade_us,trade_cn,fdi_us,fdi_cn,student_in_us,student_in_cn,student_out_us,student_out_cn,students_us,students_cn,overall_us,overall_cn,resources_us,resources_cn,mil_us,mil_cn,diplo_us,diplo_cn,soft_us,soft_cn
AFG,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.5874999999999999,0.0,0.1630434782608696,0.7804878048780486,1.0,0.01,0.5592176856902646,0.3630977637807831,,0.09024026041190472,0.5287369233796365,0.0,0.0,0.0,0.2695152529868157,0.0,0.3561959638306848,0.15615575435099738,0.0,0.0,0.3133333333333333,0.0,0.656441717791411,0.44616489600478815,0.41440801223301293,0.15112782474510889
ALB,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019607843137254906,0.026143790849673207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6588424582011327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956521,0.39024390243902435,0.0594059405940594,0.0,0.3473686745085863,0.40076300323733177,,,0.5746660167943395,0.0,0.0,0.0,0.29292687922996885,0.0,0.24792771422224377,0.11284784291927506,0.0007879994502384575,0.010506659336512765,0.35138264437393746,0.0,0.2789285063475672,0.22026036211282354,0.32017987373592655,0.2004015911485676
DZA,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.008,0.004,0.0,0.0,0.012,0.008,0.4422069815053778,0.0,0.02,0.36,0.0,0.0,0.012499999999999999,0.22499999999999998,0.09782608695652174,0.7682926829268294,0.009900990099009901,0.0,0.709763271772647,0.6852781909047463,,0.3695694206632557,0.37182545773553793,0.08589666394841641,0.0,0.0,0.18953212434641856,0.043784460836979906,0.2035208324661046,0.2636344467087956,0.004822556635459358,0.003215037756972906,0.2425103901362015,0.11999999999999998,0.06080301281661908,0.4336375879096215,0.4496927781233232,0.36624740577067605
AGO,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.312,0.0,0.0,0.03600000000000001,0.312,0.3808963615015214,0.30185322482052046,0.0,0.14,0.0,0.0,0.0,0.08750000000000001,0.08695652173913043,0.7682926829268294,0.019801980198019802,0.12,0.7037043719202414,0.8135483371874551,,0.38893861784767425,0.6520510137245585,0.1897896488834475,0.0,0.0,0.33237265292725404,0.09674226060504267,0.21539769821378965,0.36268299272691357,0.014467669906378081,0.12538647252194332,0.20314472613414475,0.20765505323761094,0.06025633238170443,0.5013676492593148,0.5180904491050357,0.43311982389885806
ARG,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.304,0.0,,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16339869281045755,0.05297557619539045,0.076,0.0,0.0,0.0,0.02,0.0,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.02593440122044241,0.0,0.0,0.0,0.004,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.012,0.004,0.0,0.004,0.32799999999999996,0.016,0.0,0.004,0.0,0.0,0.024,0.018058690744921,0.2099322799097066,0.0,0.0,0.004,0.008,0.0,0.0,0.004,0.008,0.3808963615015214,0.0,1.0,0.0,0.0,0.0,0.625,0.0,0.23913043478260865,0.7073170731707318,0.009900990099009901,0.02,0.8114337411900966,0.7425151878393926,0.46774189098600366,0.43791471625308853,0.7287045033124006,0.0,0.7076435843806761,0.5186002297243363,0.7321556356558353,0.26434823431617804,0.43660066983632223,0.3067061143127111,0.08495407119601933,0.10887237325480874,0.5364780594674782,0.0,0.14055761404361292,0.41051024988777496,0.6705109722277854,0.48164099555915946
ARM,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6827495863220419,0.30185322482052046,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826084,0.5975609756097561,0.13861386138613863,0.0,0.3486227872998876,0.3362198685281649,,,0.4487287893005811,0.0,0.35846204203395843,0.10559751884050751,0.4114527121071967,0.05382665886688011,0.24241267436308814,0.1780734719835986,0.0,0.0,0.36413311270508897,0.16098838657094425,0.176395553665796,0.3372736794852611,0.3800758509238383,0.19504281602972845
AUS,Australia,0.0,0.156,0.0,0.0,0.0,0.008,0.324,0.055999999999999994,0.0,0.027999999999999997,0.14800000000000002,0.024,0.0,0.0,0.0,0.0,0.0,,0.604,0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16399999999999998,1.0,0.36666666666666675,0.37151702786377716,0.02,0.008,0.0,0.084,0.0,0.248,0.004,0.044000000000000004,0.124,0.044000000000000004,0.23199999999999998,0.084,0.024,0.008,0.008,0.0,0.0,0.0,0.07856598016781083,0.09916094584286803,0.0,0.004,0.0,0.0,0.004,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.048,0.052000000000000005,0.008,0.04,0.10400000000000001,0.084,0.09706546275395038,0.18735891647855535,0.0,0.14400000000000002,0.0,0.02,0.0,0.084,0.0,0.248,1.0,0.7251038183783249,1.0,0.0,0.39999999999999997,0.0,0.8749999999999999,0.0,0.5217391304347826,0.28048780487804875,0.009900990099009901,0.0,0.8992362491803053,0.9843614223674291,0.8957180138934429,0.5758132329756411,0.8348491798121483,0.31048265274140996,0.8349448600145489,1.0,0.8511510037982374,0.6679977283047398,0.7024281193392754,0.5197301075753465,0.2179386122327283,0.36411785139446673,1.0,0.38672203646843994,0.30006681649760064,0.15831213526859192,0.882123518628485,0.7427985907369852
AUT,Austria,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.004,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.041830065359477135,0.0006879944960440318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0007627765064836003,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.002257336343115125,0.002257336343115125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5346556376275643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3695652173913043,0.39024390243902435,0.009900990099009901,0.0,0.7940118829085545,0.6796972890113111,0.35918270057686574,0.1016083843605084,0.6217928551466262,0.2168990383128123,0.6770089882557717,0.6738292764270785,0.6620436211771877,0.4540346181143728,0.34828742156256187,0.20445326868026478,0.018024377043642792,0.0011836687318341726,0.2851496734013676,0.0,0.21417724594545343,0.22026036211282354,0.6051400646425229,0.41182138075614866
AZE,Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.004,0.004,0.5346556376275643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14130434782608695,0.7560975609756099,0.0297029702970297,0.0,0.5546409450991757,0.44427755751062786,,,0.49597098611857854,0.0,0.1730966911353023,0.5114631188310879,0.34104662702155775,0.26071020534007855,0.22169759503330247,0.20232708506443883,0.001607518878486453,0.001607518878486453,0.2851496734013676,0.0,0.09651946789771,0.4267544515935957,0.4478886852704169,0.3525292211963094
BHS,The Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49230140557128116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.7073170731707318,0.019801980198019802,0.49,0.6780015449736709,0.4154818104192844,,0.11202801652016514,0.7289262838944512,0.0,0.0,0.0,0.37155860150038217,0.0,0.24568601801102793,0.21654289484631717,0.0,0.0,0.2625607496380166,0.0,0.1338759642835449,0.6757863235074067,0.5248326858029968,0.17585423772690836
